Age,Annual_Income_INR,Loan_Amount_INR,Credit_Score,Employment_Years,Existing_Loans,Loan_Type,Defaulted
59,2229122.0,1405253.0,354.0,19.0,2,Education,0
49,312035.0,1522267.0,875.0,30.0,4,Auto,0
35,1424293.0,1638191.0,332.0,21.0,3,Auto,1
63,1994679.0,4823936.0,857.0,19.0,2,Business,0
28,1703934.0,259074.0,495.0,14.0,4,Business,0
41,2978069.0,4721342.0,747.0,,4,Business,0
59,1590502.0,226031.0,890.0,0.0,1,Personal,0
39,540526.0,3659068.0,391.0,16.0,3,Education,1
43,1416733.0,3879168.0,527.0,15.0,3,Auto,1
31,2216788.0,2958128.0,585.0,20.0,1,Education,0
31,1693149.0,1699211.0,534.0,26.0,4,Personal,0
44,1393118.0,4263037.0,401.0,34.0,4,Personal,0
56,1065144.0,4691731.0,439.0,23.0,3,Auto,1
60,1618137.0,4153928.0,565.0,1.0,3,Auto,1
44,2507306.0,4087584.0,641.0,24.0,3,Business,0
23,1910741.0,2331740.0,872.0,18.0,3,Personal,0
42,1179532.0,4281791.0,834.0,12.0,4,Business,0
22,1430420.0,3578803.0,822.0,28.0,3,Auto,0
44,722797.0,4285153.0,315.0,31.0,4,Personal,1
64,1191120.0,2554918.0,860.0,5.0,1,Personal,0
50,1874286.0,4197829.0,635.0,8.0,0,Home,1
58,2565926.0,2983283.0,689.0,0.0,1,Personal,0
22,1110906.0,3667104.0,469.0,23.0,1,Business,0
41,2658165.0,3919985.0,,9.0,2,Home,1
53,1394507.0,1505499.0,341.0,34.0,1,Personal,1
32,614399.0,4115156.0,309.0,5.0,2,Home,1
42,2206518.0,4734790.0,729.0,19.0,2,Personal,0
64,1890420.0,341162.0,767.0,11.0,2,Education,0
45,1477071.0,857463.0,348.0,2.0,1,Business,1
47,454809.0,15307928.661747746,506.0,17.0,0,Business,0
62,929672.0,3963567.0,813.0,20.0,2,Home,0
48,1263597.0,4614874.0,879.0,34.0,3,Education,0
36,1973799.0,1639583.0,509.0,18.0,3,Home,0
35,648781.0,3991878.0,438.0,24.0,4,Home,1
64,641259.0,4244360.0,336.0,17.0,3,Auto,1
23,2361513.0,720712.0,517.0,29.0,3,Home,0
57,2167325.0,4756158.0,755.0,33.0,2,Personal,0
27,2207091.0,4103903.0,811.0,9.0,1,Auto,0
41,996787.0,1932828.0,577.0,21.0,3,Auto,0
29,1347417.0,3526555.0,479.0,3.0,1,Home,0
59,2214772.0,1842284.0,816.0,2.0,0,Auto,0
38,1494876.0,3175229.0,429.0,27.0,3,Business,0
24,360786.0,3192581.0,658.0,21.0,0,Auto,0
45,741486.0,751916.0,303.0,11.0,0,Auto,0
34,529095.0,2911895.0,898.0,12.0,4,Personal,0
29,2275414.0,3628827.0,857.0,32.0,1,Business,0
46,1727774.0,3075567.0,382.0,18.0,1,Auto,0
22,1514530.0,1819731.0,453.0,16.0,4,Personal,1
40,1110175.0,1303975.0,805.0,33.0,2,Business,0
48,1506884.0,2134023.0,808.0,3.0,4,Auto,0
27,934480.0,698207.0,396.0,7.0,4,Home,1
64,2061791.0,1446688.0,581.0,32.0,4,Auto,0
28,321701.0,4997950.0,899.0,0.0,0,Business,0
55,2789433.0,1052581.0,898.0,4.0,1,Auto,0
34,1254739.0,1732118.0,837.0,31.0,2,Business,0
37,1180591.0,1621849.0,728.0,0.0,3,Home,0
56,1264641.0,4130092.0,842.0,34.0,3,Auto,0
60,1633043.0,1038323.0,425.0,21.0,3,Business,0
24,1104401.0,2571111.0,600.0,28.0,2,Personal,0
22,2642752.0,2058639.0,842.0,16.0,3,Auto,0
26,2794873.0,2378887.0,666.0,29.0,2,Home,0
62,448924.0,3268669.0,344.0,34.0,3,Personal,1
24,2290923.0,3161373.0,792.0,0.0,3,Auto,0
49,2140711.0,3941032.0,615.0,3.0,2,Business,0
38,744517.0,2164797.0,488.0,8.0,1,Education,1
46,1563307.0,1211237.0,351.0,31.0,2,Personal,1
64,,3660803.0,863.0,4.0,2,Business,0
54,1930933.0,1432193.0,631.0,13.0,4,Personal,0
30,745389.0,1784367.0,798.0,25.0,0,Auto,0
56,2504087.0,3061289.0,617.0,22.0,0,Home,0
34,390477.0,1116458.0,709.0,21.0,1,Home,0
51,1414596.0,4453915.0,622.0,26.0,1,Personal,0
35,2135272.0,3417442.0,890.0,24.0,1,Education,0
28,2219111.0,1199089.0,860.0,3.0,0,Auto,0
34,500065.0,4450212.0,529.0,31.0,1,Business,0
43,2767375.0,2267506.0,643.0,8.0,1,Auto,0
60,2711439.0,156500.0,670.0,1.0,2,Education,0
41,921478.0,4055963.0,855.0,24.0,2,Business,0
36,379354.0,4545366.0,591.0,9.0,0,Education,0
38,1864589.0,2027000.0,736.0,24.0,2,Auto,0
44,2617741.0,295377.0,546.0,28.0,1,Auto,0
46,936427.0,305333.0,518.0,,2,Personal,0
45,1592928.0,4589205.0,833.0,13.0,4,Education,0
61,1696608.0,2041258.0,818.0,32.0,2,Home,0
49,1617003.0,1984498.0,771.0,26.0,0,Education,0
35,2382931.0,4840589.0,649.0,4.0,1,Education,0
21,1251636.0,4983065.0,343.0,14.0,1,Business,1
45,2947246.0,1994776.0,364.0,2.0,0,Business,0
27,2637126.0,3996212.0,545.0,0.0,2,Personal,0
29,2842159.0,885815.0,884.0,23.0,1,Home,0
44,2213122.0,967831.0,370.0,11.0,1,Auto,1
21,2282214.0,1973309.0,457.0,13.0,4,Home,1
64,1763159.0,3790791.0,774.0,19.0,0,Home,0
28,2847765.0,2918149.0,324.0,13.0,2,Home,1
44,1184943.0,4319918.0,882.0,13.0,2,Personal,0
31,1263127.0,2417344.0,522.0,34.0,1,Personal,0
37,555431.0,4475977.0,,,3,Home,1
28,2781557.0,1357983.0,374.0,19.0,4,Auto,0
55,215141.0,4682991.0,437.0,22.0,4,Auto,1
55,,4443691.0,778.0,33.0,4,Auto,0
53,,424154.0,852.0,0.0,1,Personal,0
25,774679.0,3078187.0,602.0,3.0,0,Business,0
62,1893152.0,4970535.0,686.0,16.0,0,Auto,0
59,1978996.0,3991690.0,771.0,25.0,4,Business,0
61,1362111.0,4172267.0,633.0,13.0,3,Home,0
48,342770.0,2924726.0,608.0,31.0,3,Auto,0
27,2537099.0,1755585.0,827.0,19.0,2,Home,0
29,810999.0,1560190.0,839.0,15.0,3,Home,0
28,2144741.0,140721.0,462.0,18.0,4,Education,0
32,1084094.0,77134.0,354.0,23.0,2,Home,0
54,2864812.0,2028524.0,754.0,13.0,4,Home,0
53,1024255.0,4416497.0,604.0,28.0,0,Personal,0
43,795446.0,2364281.0,401.0,13.0,4,Home,1
44,2131084.0,4497411.0,853.0,10.0,2,Auto,0
57,1232564.0,1661081.0,687.0,10.0,4,Personal,0
55,2010023.0,465282.0,507.0,23.0,1,Education,0
64,1381597.0,1621829.0,614.0,21.0,2,Education,1
60,773684.0,3756205.0,348.0,,3,Home,1
42,1619056.0,1293125.0,871.0,5.0,0,Business,0
47,1305523.0,216561.0,817.0,13.0,3,Education,0
55,713676.0,4009444.0,447.0,8.0,4,Education,0
21,690913.0,1380357.0,510.0,34.0,3,Education,0
55,1292963.0,1945413.0,671.0,,2,Auto,0
57,2575804.0,4043465.0,,,1,Business,0
34,1556312.0,1918564.0,346.0,27.0,3,Home,0
23,2930689.0,250633.0,798.0,13.0,4,Home,0
21,2299071.0,2768452.0,454.0,12.0,3,Personal,0
25,,4247958.0,529.0,30.0,3,Auto,0
46,340689.0,3700828.0,599.0,4.0,2,Business,1
34,2330450.0,1925436.0,457.0,18.0,4,Personal,0
59,1485801.0,3849830.0,546.0,7.0,4,Business,0
47,433725.0,2054116.0,867.0,12.0,1,Education,0
29,2573752.0,3895637.0,450.0,16.0,2,Business,0
35,1358175.0,931811.0,598.0,31.0,2,Personal,0
35,,115355.0,353.0,4.0,0,Auto,1
46,1010672.0,767479.0,522.0,8.0,1,Auto,0
62,2646677.0,4726616.0,879.0,33.0,1,Education,0
33,2568524.0,1144833.0,864.0,0.0,4,Home,0
52,2833360.0,687723.0,766.0,14.0,4,Personal,0
59,1780296.0,1211271.0,785.0,31.0,1,Home,0
52,1705367.0,4036638.0,851.0,33.0,2,Education,0
24,1883371.0,1631602.0,743.0,34.0,0,Business,0
50,1641229.0,909856.0,437.0,27.0,4,Business,0
57,1582445.0,2517696.0,591.0,16.0,0,Education,1
43,1997511.0,317618.0,509.0,10.0,1,Auto,0
59,1937846.0,2206178.0,510.0,22.0,2,Personal,0
35,846052.0,116024.0,687.0,25.0,0,Education,0
63,361298.0,3246702.0,695.0,4.0,3,Education,0
49,2501374.0,2414918.0,423.0,25.0,1,Personal,0
56,521243.0,409510.0,860.0,5.0,2,Auto,0
33,1361133.0,2904590.0,423.0,33.0,1,Auto,0
52,742301.0,4283518.0,367.0,12.0,1,Personal,1
27,2281530.0,4861776.0,774.0,,0,Home,0
42,2793561.0,823500.0,657.0,1.0,0,Business,0
48,1875125.0,4604681.0,,13.0,3,Personal,0
22,462701.0,4433369.0,645.0,16.0,4,Auto,0
62,330878.0,1031153.0,820.0,24.0,3,Home,0
26,2920583.0,4287330.0,797.0,26.0,2,Education,0
48,748866.0,139037.0,627.0,23.0,2,Education,0
48,2962108.0,3648151.0,629.0,32.0,1,Education,0
64,2092508.0,996584.0,865.0,26.0,0,Business,0
64,2893974.0,4970087.0,726.0,30.0,1,Auto,0
40,656610.0,4564899.0,742.0,14.0,4,Home,0
50,2494270.0,3015725.0,394.0,0.0,1,Auto,0
31,998028.0,589972.0,750.0,10.0,2,Business,0
48,2886795.0,4792594.0,616.0,14.0,2,Business,0
45,2834414.0,442848.0,786.0,32.0,3,Personal,0
59,2147012.0,3087628.0,876.0,31.0,1,Auto,0
53,2783801.0,509369.0,304.0,24.0,0,Education,0
21,1056634.0,3635348.0,670.0,32.0,4,Personal,0
47,2371594.0,1592666.0,854.0,28.0,4,Auto,0
33,877178.0,3203554.0,487.0,33.0,0,Personal,0
61,2209326.0,193206.0,325.0,7.0,4,Personal,1
23,2430878.0,3317568.0,461.0,10.0,0,Home,1
59,2855198.0,3855142.0,429.0,,0,Personal,0
26,2059212.0,3716956.0,832.0,4.0,3,Business,0
28,327309.0,1770026.0,709.0,18.0,1,Education,0
47,890288.0,1376289.0,887.0,20.0,2,Home,0
29,2810796.0,984112.0,372.0,2.0,2,Personal,0
57,2481833.0,3284787.0,532.0,25.0,1,Home,0
53,603552.0,4899039.0,405.0,32.0,4,Education,1
62,1557757.0,684936.0,308.0,29.0,0,Education,1
64,2444430.0,2171672.0,349.0,21.0,2,Home,1
44,1266937.0,4264038.0,821.0,4.0,3,Auto,0
35,2076343.0,1954371.0,741.0,,4,Education,0
52,1323045.0,2984139.0,889.0,8.0,3,Business,0
52,1769157.0,299972.0,335.0,23.0,2,Business,1
44,750104.0,1901265.0,501.0,11.0,1,Personal,0
61,2030286.0,1326502.0,417.0,26.0,1,Auto,0
32,434295.0,970363.0,468.0,20.0,3,Auto,0
59,816767.0,3497712.0,811.0,34.0,4,Personal,0
22,226819.0,163827.0,529.0,31.0,2,Education,0
23,208798.0,2772712.0,859.0,32.0,0,Home,0
57,880503.0,615992.0,449.0,16.0,1,Auto,0
37,1674539.0,3655081.0,507.0,4.0,3,Auto,1
22,1902408.0,896811.0,360.0,19.0,2,Education,0
22,733703.0,729678.0,416.0,22.0,4,Home,1
48,2177165.0,1472281.0,538.0,3.0,0,Business,0
43,2239436.0,2938858.0,,,0,Auto,1
57,2931645.0,3082882.0,747.0,29.0,1,Education,0
52,1266746.0,2584002.0,767.0,28.0,0,Auto,0
53,216259.0,1981470.0,592.0,33.0,2,Business,0
21,2581395.0,816032.0,724.0,9.0,1,Personal,0
39,,168724.0,816.0,19.0,1,Education,0
22,1377970.0,3935647.0,504.0,,1,Home,1
64,1213295.0,3178422.0,479.0,33.0,2,Personal,0
46,1522525.0,2027583.0,828.0,12.0,3,Home,0
52,1291723.0,2195544.0,389.0,22.0,0,Business,0
26,274280.0,3194753.0,799.0,9.0,0,Home,0
52,1425701.0,357479.0,407.0,21.0,3,Auto,0
24,568921.0,4266791.0,,13.0,1,Business,1
31,1870705.0,3756609.0,479.0,24.0,4,Personal,1
37,1897590.0,1174503.0,319.0,17.0,2,Auto,0
58,2687655.0,3467746.0,658.0,19.0,1,Auto,0
44,2373367.0,3249676.0,306.0,27.0,1,Business,0
25,1885773.0,1203758.0,621.0,7.0,1,Home,0
54,1606085.0,1328970.0,567.0,4.0,0,Home,0
26,2826301.0,13272542.373155503,726.0,20.0,0,Personal,0
42,2229662.0,1021416.0,595.0,19.0,4,Business,0
31,2559120.0,2698986.0,812.0,15.0,2,Personal,0
36,1955864.0,2001007.0,869.0,19.0,1,Education,0
53,496508.0,2247956.0,686.0,,0,Business,0
29,544543.0,600008.0,563.0,6.0,3,Education,0
26,1738827.0,1529394.0,389.0,24.0,0,Personal,0
36,2021936.0,3262810.0,787.0,9.0,1,Education,0
49,2811212.0,65050.0,886.0,15.0,1,Education,0
