Transaction_Amount_INR,Transaction_Hour,Merchant_Category,Country,Distance_from_Home_km,Mins_Since_Last_Txn,Avg_Monthly_Txn_INR,Is_Fraud
2317.0,18,Medical,Dubai,2262.0,209.0,3031,0
1948.0,20,Travel,UK,8644.0,192.0,4916,0
4836.0,15,Grocery,India,474.0,486.0,16476,0
3099.0,17,Electronics,India,6387.0,222.0,19097,1
999.0,9,Fuel,Dubai,1032.0,320.0,3911,0
1987.0,8,Grocery,India,5664.0,629.0,19904,0
1945.0,3,Medical,USA,4533.0,662.0,1948,0
66.0,10,Grocery,India,1199.0,200.0,13770,0
2411.0,11,Grocery,India,7522.0,545.0,19539,0
2087.0,5,Restaurant,India,8699.0,384.0,12842,0
904.0,23,Restaurant,India,8238.0,525.0,12985,0
489.0,12,Online,Other,2408.0,117.0,15424,0
1375.0,13,Grocery,India,4472.0,232.0,7409,1
354.0,18,Fuel,India,768.0,717.0,10739,1
809.0,14,Electronics,India,1314.0,701.0,10275,0
122.0,12,Electronics,India,7157.0,356.0,11132,0
3764.0,1,Electronics,India,1303.0,662.0,19983,0
334.0,22,Restaurant,India,7210.0,211.0,15371,0
5002.0,12,Medical,India,6463.0,294.0,1197,0
505.0,10,Electronics,India,4392.0,354.0,15408,1
3859.0,10,Online,India,6880.0,645.0,12658,0
1197.0,0,Electronics,Other,6766.0,139.0,19632,0
7204.0,21,Fuel,UK,4571.0,544.0,3518,0
463.0,9,Online,Other,4631.0,589.0,1913,0
528.0,1,Grocery,India,9875.0,503.0,2711,0
275.0,5,Medical,India,7491.0,64.0,11516,0
153.0,10,Online,India,6278.0,340.0,17200,0
3393.0,8,Fuel,India,9491.0,506.0,14630,0
2344.0,13,Travel,India,2160.0,334.0,3283,0
474.0,0,Electronics,USA,6119.0,466.0,10474,0
1490.0,9,Grocery,Other,5395.0,343.0,11061,0
4570.0,11,Electronics,India,4839.0,578.0,6874,0
12731.440909228715,23,Travel,Other,8798.0,685.0,1353,0
1356.0,4,Grocery,India,2362.0,435.0,5235,0
1365.0,13,Travel,Other,9158.0,,1354,0
4345.0,14,Electronics,India,6180.0,356.0,15555,0
1425.0,2,Grocery,India,1813.0,244.0,9866,0
750.0,20,Restaurant,India,1018.0,357.0,5446,0
2104.0,6,Fuel,UK,309.0,239.0,5775,0
1873.0,9,Electronics,Dubai,4475.0,34.0,1895,0
108.0,15,Travel,India,2306.0,466.0,15639,0
1767.0,14,Electronics,USA,9321.0,360.0,9559,1
800.0,23,Restaurant,India,656.0,226.0,1967,0
21377.73901053619,1,Grocery,India,3897.0,471.0,2971,0
1119.0,14,Grocery,India,1713.0,433.0,8034,0
10.0,8,Fuel,UK,6217.0,277.0,11240,0
1652.0,14,Medical,India,602.0,63.0,7890,0
5242.0,4,Grocery,India,6033.0,233.0,5748,0
422.0,22,Online,India,2064.0,530.0,18998,0
9800.0,1,Medical,India,6799.0,,15676,1
803.0,8,Travel,Singapore,4663.0,275.0,13146,0
304.0,7,Medical,India,7259.0,236.0,14428,0
281.0,17,Fuel,India,694.0,257.0,11756,0
298.0,11,Restaurant,Dubai,4886.0,434.0,19422,0
6129.0,21,Online,India,578.0,382.0,19740,0
593.0,16,Restaurant,India,3596.0,34.0,3047,0
1318.0,22,Grocery,India,8210.0,111.0,1230,0
1134.0,3,Medical,India,1012.0,291.0,11586,0
447.0,9,Restaurant,India,1704.0,495.0,14183,0
128.0,14,Grocery,India,8790.0,515.0,13118,0
757.0,14,Fuel,India,4287.0,435.0,19177,0
