Recency_Days,Purchase_Frequency,Total_Spend_INR,Age,City_Type,Gender,Total_Returns,Discounts_Used
64.0,75.0,475350.0,38.0,Tier1,Female,11.0,0.0
315.0,62.0,22901.0,60.0,Metro,Female,8.0,40.0
6.0,85.0,391350.0,38.0,Metro,Female,5.0,34.0
271.0,13.0,441314.0,19.0,Tier1,Female,11.0,5.0
300.0,31.0,62644.0,44.0,Metro,Female,1.0,40.0
97.0,29.0,359874.0,,Tier1,Male,2.0,8.0
230.0,91.0,180359.0,53.0,Tier1,Male,5.0,47.0
343.0,18.0,460683.0,54.0,Metro,Male,18.0,46.0
67.0,42.0,371076.0,52.0,Tier1,Female,12.0,44.0
145.0,57.0,252049.0,36.0,Tier2,Female,5.0,42.0
186.0,74.0,280446.0,59.0,Tier1,Male,11.0,34.0
362.0,40.0,215320.0,46.0,Tier1,Female,5.0,27.0
290.0,88.0,145613.0,51.0,Tier1,Male,1.0,23.0
358.0,74.0,460952.0,65.0,Metro,Male,4.0,23.0
253.0,98.0,334669.0,52.0,Metro,Male,19.0,36.0
239.0,35.0,189651.0,36.0,Metro,Other,0.0,36.0
341.0,89.0,474054.0,54.0,Tier1,Male,8.0,26.0
132.0,78.0,208850.0,57.0,Metro,Male,4.0,13.0
30.0,20.0,208551.0,61.0,Tier1,Male,1.0,4.0
250.0,84.0,256444.0,18.0,Metro,Female,11.0,42.0
63.0,29.0,278014.0,45.0,Tier1,Female,2.0,46.0
295.0,53.0,43725.0,33.0,Tier1,Female,9.0,3.0
238.0,96.0,427754.0,23.0,Metro,Female,13.0,9.0
298.0,33.0,132932.0,19.0,Tier2,Female,6.0,46.0
332.0,33.0,409652.0,50.0,Metro,Male,6.0,45.0
143.0,98.0,297050.0,31.0,Rural,Male,14.0,14.0
184.0,40.0,416677.0,18.0,Tier1,Female,8.0,10.0
228.0,85.0,45112.0,49.0,Tier1,Female,15.0,35.0
224.0,15.0,451225.0,41.0,Tier2,Male,13.0,15.0
318.0,71.0,39661.0,69.0,Tier1,Female,3.0,45.0
357.0,92.0,465501.0,59.0,Tier1,Female,13.0,41.0
198.0,40.0,441482.0,56.0,Tier2,Male,19.0,34.0
,78.0,398416.0,24.0,Tier1,Female,4.0,45.0
28.0,78.0,137250.0,56.0,Metro,Female,11.0,7.0
44.0,83.0,258192.0,45.0,Rural,Male,17.0,7.0
40.0,38.0,,38.0,Rural,Female,4.0,49.0
319.0,46.0,98954.0,43.0,Tier1,Female,12.0,9.0
56.0,4.0,129729.0,67.0,Tier2,Female,3.0,30.0
232.0,49.0,60903.0,25.0,Metro,Female,1.0,6.0
255.0,81.0,,33.0,Tier2,Male,5.0,28.0
229.0,4.0,296563.0,58.0,Metro,Female,11.0,15.0
15.0,64.0,42404.0,33.0,Tier2,Other,12.0,23.0
156.0,90.0,262890.0,53.0,Tier1,Female,13.0,6.0
195.0,99.0,139871.0,25.0,Tier2,Female,7.0,26.0
151.0,12.0,87151.0,64.0,Tier1,Male,3.0,16.0
160.0,17.0,185604.0,67.0,Metro,Male,11.0,33.0
329.0,67.0,100293.0,39.0,Tier1,Other,18.0,21.0
364.0,29.0,440184.0,67.0,Tier1,Male,0.0,34.0
288.0,76.0,126549.0,30.0,Tier2,Female,15.0,10.0
296.0,78.0,467877.0,39.0,Rural,Male,0.0,42.0
193.0,63.0,238402.0,57.0,Metro,Male,3.0,5.0
264.0,58.0,157765.0,19.0,Tier1,Male,9.0,13.0
120.0,66.0,212762.0,27.0,Tier2,Male,2.0,13.0
286.0,42.0,8942.0,64.0,Tier2,Male,17.0,38.0
306.0,92.0,191642.0,48.0,Tier1,Male,2.0,29.0
354.0,93.0,243329.0,24.0,Metro,Female,4.0,43.0
3.0,60.0,71229.88481571578,18.0,Rural,Female,8.0,46.0
355.0,29.0,237343.0,67.0,Tier1,Male,8.0,27.0
332.0,29.0,22262.0,23.0,Metro,Male,2.0,42.0
145.0,87.0,306385.0,67.0,Metro,Female,8.0,6.0
109.0,47.0,80954.0,63.0,Metro,Male,2.0,39.0
94.0,83.0,59637.0,38.0,Tier1,Female,19.0,38.0
209.0,52.0,,59.0,Tier1,Female,10.0,35.0
171.0,44.0,192908.0,58.0,Tier1,Female,10.0,4.0
194.0,9.0,106155.0,61.0,Tier2,Male,4.0,22.0
271.0,45.0,330174.0,27.0,Tier1,Female,19.0,22.0
274.0,62.0,95449.0,31.0,Tier2,Female,0.0,4.0
354.0,40.0,280932.0,40.0,Tier1,Female,10.0,39.0
243.0,21.0,795969.7305155376,,Metro,Female,19.0,2.0
264.0,39.0,304617.0,,Metro,Male,19.0,39.0
78.0,48.0,,34.0,Tier1,Female,15.0,10.0
134.0,76.0,383957.0,49.0,Rural,Male,18.0,1.0
264.0,99.0,187403.0,45.0,Metro,Female,4.0,41.0
141.0,33.0,447035.0,28.0,Tier2,Male,4.0,5.0
161.0,72.0,368714.0,29.0,Tier2,Male,7.0,5.0
87.0,30.0,341572.0,46.0,Tier2,Male,13.0,27.0
176.0,36.0,273357.0,50.0,Tier2,Male,14.0,38.0
132.0,33.0,477808.0,,Tier2,Female,0.0,21.0
114.0,47.0,454958.0,18.0,Metro,Female,15.0,41.0
219.0,18.0,444549.0,62.0,Tier2,Female,1.0,35.0
244.0,94.0,146192.0,68.0,Tier1,Female,6.0,41.0
355.0,57.0,,,Tier1,Female,12.0,39.0
75.0,60.0,57689.0,56.0,Tier2,Male,14.0,16.0
127.0,25.0,13195.0,53.0,Metro,Male,12.0,33.0
146.0,40.0,98671.0,20.0,Tier2,Female,2.0,31.0
56.0,89.0,443329.0,46.0,Tier2,Female,14.0,2.0
83.0,45.0,4702.0,40.0,Metro,Male,17.0,43.0
222.0,29.0,490083.0,40.0,Metro,Male,10.0,14.0
100.0,4.0,44718.0,34.0,Metro,Male,8.0,22.0
185.0,43.0,466896.0,25.0,Tier1,Female,14.0,17.0
180.0,54.0,436441.0,,Tier2,Female,15.0,47.0
,43.0,117442.0,35.0,Metro,Male,13.0,23.0
167.0,5.0,499213.0,34.0,Tier1,Male,5.0,21.0
308.0,23.0,163076.0,,Metro,Female,7.0,9.0
181.0,61.0,439567.0,44.0,Tier2,Female,4.0,17.0
77.0,17.0,91678.0,21.0,Tier1,Male,10.0,33.0
67.0,11.0,190024.0,64.0,Tier2,Female,8.0,19.0
