customer_id,annual_spend_inr,txn_frequency_per_year,avg_order_value_inr,days_since_last_purchase,customer_age,loyalty_score,city,city_tier,gender,payment_method,customer_segment
CUST00001,10063,3,1055,68,53,45.1,Mumbai,1,M,Net Banking,Occasional buyers
CUST00002,36121,20,1979,34,39,64.5,Chennai,2,F,COD,Regular shoppers
CUST00003,13633,46,676,7,21,75.0,Mumbai,1,M,Debit Card,Young explorers
CUST00004,7563,11,1366,88,67,50.8,Bengaluru,1,F,UPI,Occasional buyers
CUST00005,32980,21,1811,38,40,79.7,Delhi,1,M,Wallet,Regular shoppers
CUST00006,23921,14,1745,13,21,70.4,Mumbai,1,F,UPI,Regular shoppers
CUST00007,19100,50,357,15,27,62.5,Chennai,2,M,Net Banking,Bargain hunters
CUST00008,34907,25,1203,9,41,84.5,Bengaluru,1,F,Credit Card,Regular shoppers
CUST00009,9160,8,1315,58,24,45.1,Mumbai,1,M,Net Banking,Occasional buyers
CUST00010,34093,19,1669,34,27,57.9,Ahmedabad,2,F,UPI,Regular shoppers
CUST00011,88808,49,2254,18,41,100,Kolkata,2,F,Debit Card,Premium loyalists
CUST00012,26324,16,2080,31,32,66.7,Ahmedabad,2,M,Debit Card,Regular shoppers
CUST00013,68235,47,2435,5,44,95.0,Lucknow,3,F,Net Banking,Premium loyalists
CUST00014,32804,10,1327,18,27,76.0,Chennai,2,F,COD,Regular shoppers
CUST00015,26629,22,2158,28,29,62.1,Lucknow,3,F,Net Banking,Regular shoppers
CUST00016,13462,8,818,56,38,26.6,Hyderabad,2,F,Debit Card,Occasional buyers
CUST00017,8052,5,1239,80,73,30.8,Kolkata,2,M,Debit Card,Occasional buyers
CUST00018,18317,33,428,18,24,71.2,Mumbai,1,M,COD,Bargain hunters
CUST00019,92167,4,11670,58,58,70.1,Bengaluru,1,F,UPI,High-value infrequent
CUST00020,13136,26,591,16,27,49.9,Bengaluru,1,M,Wallet,Bargain hunters
CUST00021,85708,9,9480,72,68,64.8,Bengaluru,1,F,Net Banking,High-value infrequent
CUST00022,24295,56,560,12,21,59.4,Kolkata,2,M,Net Banking,Bargain hunters
CUST00023,7822,2,914,37,48,59.6,Mumbai,1,M,Credit Card,Occasional buyers
CUST00024,19958,28,664,14,18,57.9,Bengaluru,1,M,Debit Card,Bargain hunters
CUST00025,102958,5,6359,33,42,47.0,Mumbai,1,M,Credit Card,High-value infrequent
CUST00026,116119,54,2717,19,32,88.1,Bengaluru,1,F,UPI,Premium loyalists
CUST00027,32366,23,1635,25,50,60.8,Lucknow,3,F,Wallet,Regular shoppers
